tX;tY;tZ;rX;rY;rZ;rW;time(s)
1.044178;8.558167;-0.6724809;-0.07377266;0.9142209;-0.3481934;-0.1936984;2.133337
1.040948;8.556128;-0.6737358;-0.07433135;0.9167248;-0.3361544;-0.2027086;2.166671
1.040931;8.553514;-0.6768687;-0.07424451;0.9178702;-0.3311326;-0.2057992;2.200004
1.041448;8.549803;-0.6828315;-0.07410748;0.9186105;-0.3280062;-0.2075446;2.233338
1.040493;8.544285;-0.6873557;-0.0738152;0.9193681;-0.325227;-0.2086646;2.266671
1.037851;8.54332;-0.6896935;-0.07307564;0.9212391;-0.3181078;-0.2116268;2.300004
1.03445;8.540046;-0.6910974;-0.07157008;0.9238678;-0.3092341;-0.2138228;2.333338
1.030964;8.535978;-0.6930225;-0.06962094;0.9265069;-0.3017111;-0.2137948;2.366671
1.030702;8.53446;-0.6965277;-0.06705317;0.9289588;-0.2981445;-0.2089243;2.400005
1.027084;8.533511;-0.6982402;-0.06705317;0.9289588;-0.2981445;-0.2089243;2.433338
1.027829;8.532598;-0.7019846;-0.06705317;0.9289588;-0.2981445;-0.2089243;2.466671
1.024871;8.531491;-0.704012;-0.06705317;0.9289588;-0.2981445;-0.2089243;2.500005
1.023722;8.530744;-0.7081594;-0.06705317;0.9289588;-0.2981445;-0.2089243;2.533338
1.019918;8.528872;-0.711275;-0.06705317;0.9289588;-0.2981445;-0.2089243;2.566672
1.016895;8.526699;-0.7137747;-0.06705317;0.9289588;-0.2981445;-0.2089243;2.600005
1.014686;8.525422;-0.715443;-0.06705317;0.9289588;-0.2981445;-0.2089243;2.633338
1.010953;8.523403;-0.7181494;-0.06705317;0.9289588;-0.2981445;-0.2089243;2.666672
1.010538;8.522885;-0.722202;-0.06705317;0.9289588;-0.2981445;-0.2089243;2.700005
1.010218;8.518951;-0.7280501;-0.06750876;0.928084;-0.3015529;-0.2077705;2.733339
1.009599;8.514961;-0.7331739;-0.06785347;0.927427;-0.3040261;-0.206986;2.766672
1.006258;8.514219;-0.738787;-0.06819206;0.9269283;-0.3055432;-0.2068747;2.800005
1.006017;8.510822;-0.7439591;-0.06866578;0.926226;-0.3076657;-0.206718;2.833339
1.005539;8.507163;-0.7453249;-0.06937515;0.9250781;-0.3113234;-0.206144;2.866672
1.005511;8.50318;-0.7467296;-0.06990569;0.9239108;-0.3156501;-0.2046146;2.900006
1.001456;8.50218;-0.7504135;-0.07006978;0.9235637;-0.3168821;-0.2042208;2.933339
0.9977136;8.499551;-0.7517874;-0.07006978;0.9235637;-0.3168821;-0.2042208;2.966672
0.9944361;8.494972;-0.7542087;-0.07006978;0.9235637;-0.3168821;-0.2042208;3.000006
0.9912365;8.49336;-0.7588345;-0.07006978;0.9235637;-0.3168821;-0.2042208;3.033339
0.9880546;8.490355;-0.7636921;-0.07083505;0.9233041;-0.3154428;-0.2073348;3.066673
0.9882212;8.486535;-0.7671614;-0.07321874;0.9238004;-0.3014986;-0.2243444;3.100006
0.9851753;8.482016;-0.7684323;-0.07396165;0.9238543;-0.2965062;-0.2304498;3.133339
0.9838133;8.480011;-0.770116;-0.07559998;0.9232431;-0.2893271;-0.2412397;3.166673
0.9839063;8.479057;-0.7757903;-0.07654454;0.9227958;-0.2845505;-0.2482336;3.200006
0.9809026;8.47771;-0.7793431;-0.07877042;0.921164;-0.2751583;-0.2637045;3.23334
0.9806403;8.474766;-0.7824398;-0.08004139;0.9199573;-0.2705402;-0.2721763;3.266673
0.9783419;8.471519;-0.7845429;-0.08248469;0.9170321;-0.2599263;-0.2910098;3.300006
0.9782977;8.468579;-0.7855766;-0.08394919;0.9128646;-0.239805;-0.319569;3.33334
0.9778215;8.465981;-0.7900715;-0.08306611;0.9112487;-0.2269888;-0.3334697;3.366673
0.9748681;8.465867;-0.792123;-0.08151812;0.909884;-0.2146685;-0.3455189;3.400007
0.9733548;8.461157;-0.796748;-0.07855285;0.9089299;-0.1997374;-0.3574645;3.43334
0.9724542;8.458124;-0.7997177;-0.07714508;0.9087964;-0.1941035;-0.3611948;3.466673
0.9716875;8.456192;-0.8035516;-0.07612097;0.9097658;-0.1924435;-0.3598575;3.500007
0.9700168;8.455745;-0.8067007;-0.07580598;0.9103534;-0.1925678;-0.3583684;3.53334
0.9686301;8.452236;-0.8094198;-0.07580598;0.9103534;-0.1925678;-0.3583684;3.566674
0.9659894;8.449413;-0.8139775;-0.07580598;0.9103534;-0.1925678;-0.3583684;3.600007
0.965185;8.445752;-0.817568;-0.07580598;0.9103534;-0.1925678;-0.3583684;3.63334
0.9614358;8.446201;-0.8208717;-0.07580598;0.9103534;-0.1925678;-0.3583684;3.666674
0.9600837;8.445391;-0.8266051;-0.07580598;0.9103534;-0.1925678;-0.3583684;3.700007
0.9573235;8.441173;-0.8289329;-0.07580598;0.9103534;-0.1925678;-0.3583684;3.733341
