tX,tY,tZ,rX,rY,rZ,rW,time(s)
1.833,9.09995,-2.3055,0.2010675,-0.737541,-0.2494665,-0.5944506,2.233338
1.833,9.09995,-2.3055,0.2017442,-0.7404255,-0.2536866,-0.5888231,2.266671
1.833,9.09995,-2.3055,0.2010793,-0.7419645,-0.2542139,-0.5868827,2.300004
1.833,9.09995,-2.3055,0.1997455,-0.7450271,-0.2552632,-0.5829898,2.333338
1.833,9.09995,-2.3055,0.1858294,-0.766801,-0.2548967,-0.5590271,2.366671
1.833,9.09995,-2.3055,0.1724527,-0.7859653,-0.2521584,-0.5375267,2.400005
1.833,9.09995,-2.3055,0.1570767,-0.8071074,-0.247337,-0.512571,2.433338
1.833,9.09995,-2.3055,0.1466648,-0.820244,-0.2419963,-0.4971189,2.466671
1.833,9.09995,-2.3055,0.1402814,-0.8272918,-0.2370285,-0.4896191,2.500005
1.833,9.09995,-2.3055,0.13059,-0.8373131,-0.2280833,-0.479407,2.533338
1.833,9.09995,-2.3055,0.1238772,-0.8443543,-0.2217114,-0.4717674,2.566672
1.833,9.09995,-2.3055,0.1238772,-0.8443543,-0.2217114,-0.4717674,2.600005
1.833,9.09995,-2.3055,0.1123372,-0.8568687,-0.2106679,-0.4569195,2.633338
1.833,9.09995,-2.3055,0.1020362,-0.8671697,-0.19881,-0.4450616,2.666672
1.833,9.09995,-2.3055,0.09341608,-0.8751419,-0.1874172,-0.4362051,2.700005
1.833,9.09995,-2.3055,0.09341618,-0.8751419,-0.1874174,-0.4362051,2.733339
1.833,9.09995,-2.3055,0.08257668,-0.8866294,-0.1741534,-0.4204046,2.766672
1.833,9.09995,-2.3055,0.08047815,-0.8884048,-0.1708818,-0.4184014,2.800005
1.833,9.09995,-2.3055,0.07568456,-0.8935215,-0.1645995,-0.4108505,2.833339
1.833,9.09995,-2.3055,0.07397099,-0.8955566,-0.1625515,-0.4075336,2.866672
1.833,9.09995,-2.3055,0.07153663,-0.898311,-0.1594108,-0.4031228,2.900006
1.833,9.09995,-2.3055,0.06748702,-0.9029953,-0.1541528,-0.3953251,2.933339
1.833,9.09995,-2.3055,0.05569773,-0.9181565,-0.1394768,-0.3666505,2.966672
1.833,9.09995,-2.3055,0.04798918,-0.9290351,-0.1299513,-0.3430795,3.000006
1.833,9.09995,-2.3055,0.03982442,-0.9399059,-0.1177004,-0.3180212,3.033339
1.833,9.09995,-2.3055,0.03602331,-0.9444862,-0.1107469,-0.3072188,3.066673
1.833,9.09995,-2.3055,0.02347601,-0.9577975,-0.08190587,-0.2745257,3.100006
1.833,9.09995,-2.3055,0.0170884,-0.9634211,-0.06336121,-0.2598329,3.133339
1.833,9.09995,-2.3055,0.0170884,-0.9634211,-0.06336121,-0.2598329,3.166673
1.833,9.09995,-2.3055,0.007909765,-0.970217,-0.03197752,-0.239987,3.200006
1.833,9.09995,-2.3055,4.942738E-05,-0.974981,-0.0002167939,-0.2222883,3.23334
1.833,9.09995,-2.3055,-0.003862126,-0.9768168,0.01768592,-0.2133104,3.266673
1.833,9.09995,-2.3055,0.004643401,0.9772949,-0.02153395,0.2107356,3.300006
1.833,9.09995,-2.3055,0.005371244,0.9780227,-0.0253929,0.2068767,3.33334
1.833,9.09995,-2.3055,0.008063768,0.98132,-0.04219786,0.1875246,3.366673
1.833,9.09995,-2.3055,0.009270503,0.9834213,-0.05261068,0.1732882,3.400007
1.833,9.09995,-2.3055,0.009285598,0.9840245,-0.05393481,0.169413,3.43334
1.833,9.09995,-2.3055,0.009647812,0.9872267,-0.06578386,0.1447859,3.466673
1.833,9.09995,-2.3055,0.008566887,0.9908354,-0.07645408,0.1110258,3.500007
1.833,9.09995,-2.3055,0.0068987,0.9930956,-0.08447959,0.08109732,3.53334
1.833,9.09995,-2.3055,0.005943849,0.9938205,-0.08847356,0.06676706,3.566674
1.833,9.09995,-2.3055,0.003487214,0.9945736,-0.09773386,0.0354871,3.600007
1.833,9.09995,-2.3055,0.002295819,0.9945613,-0.1016776,0.02245661,3.63334
1.833,9.09995,-2.3055,0.001399001,0.9944556,-0.1042982,0.01333911,3.666674
1.833,9.09995,-2.3055,-0.005362482,0.9912308,-0.124998,-0.04252435,3.700007
1.833,9.09995,-2.3055,-0.01329986,0.9851837,-0.1452558,-0.09020508,3.733341
1.833,9.09995,-2.3055,-0.02160368,0.9779401,-0.1612356,-0.1310325,3.766674
1.833,9.09995,-2.3055,-0.0216037,0.9779401,-0.1612358,-0.1310325,3.800007
1.833,9.09995,-2.3055,-0.03013115,0.9698607,-0.1729733,-0.1689453,3.833341
1.833,9.09995,-2.3055,-0.0317148,0.968272,-0.1726899,-0.1778248,3.866674
1.833,9.09995,-2.3055,-0.03147186,0.9684871,-0.1701134,-0.1791752,3.900008
1.833,9.09995,-2.3055,-0.0308834,0.9688098,-0.1610335,-0.1858008,3.933341
1.833,9.09995,-2.3055,-0.0308834,0.9688098,-0.1610335,-0.1858008,3.966674
1.833,9.09995,-2.3055,-0.0291669,0.9697884,-0.1468797,-0.1925775,4.000008
1.833,9.09995,-2.3055,-0.02916691,0.9697884,-0.1468797,-0.1925775,4.033341
1.833,9.09995,-2.3055,-0.02916691,0.9697884,-0.1468797,-0.1925775,4.066675
1.833,9.09995,-2.3055,-0.02916691,0.9697884,-0.1468797,-0.1925775,4.100008
1.833,9.09995,-2.3055,-0.02916691,0.9697884,-0.1468797,-0.1925775,4.133341
1.833,9.09995,-2.3055,-0.02916691,0.9697884,-0.1468797,-0.1925775,4.166675
1.833,9.09995,-2.3055,-0.02916691,0.9697884,-0.1468797,-0.1925775,4.200008
1.833,9.09995,-2.3055,-0.02916691,0.9697884,-0.1468797,-0.1925775,4.233342
1.833,9.09995,-2.3055,-0.02916691,0.9697884,-0.1468797,-0.1925775,4.266675
1.833,9.09995,-2.3055,-0.02916691,0.9697884,-0.1468797,-0.1925775,4.300008
1.833,9.09995,-2.3055,-0.02916691,0.9697884,-0.1468797,-0.1925775,4.333342
1.833,9.09995,-2.3055,-0.02916691,0.9697884,-0.1468797,-0.1925775,4.366675
1.833,9.09995,-2.3055,-0.02916691,0.9697884,-0.1468797,-0.1925775,4.400009
1.833,9.09995,-2.3055,-0.02916691,0.9697884,-0.1468797,-0.1925775,4.433342
1.833,9.09995,-2.3055,-0.02916691,0.9697884,-0.1468797,-0.1925775,4.466675
